Type,Group,Amount,Fish,Taxa
Polyunsaturated,Lipids,0.165,Dolphinfish,Large pelagics
"(EPA),",Lipids,20,Dolphinfish,Large pelagics
"(DHA),",Lipids,88,Dolphinfish,Large pelagics
Cholesterol,Lipids,73,Dolphinfish,Large pelagics
Calcium,Minerals,15,Dolphinfish,Large pelagics
Iron,Minerals,1.13,Dolphinfish,Large pelagics
Magnesium,Minerals,29,Dolphinfish,Large pelagics
Phosphorus,Minerals,143,Dolphinfish,Large pelagics
Potassium,Minerals,416,Dolphinfish,Large pelagics
Sodium,Minerals,88,Dolphinfish,Large pelagics
Zinc,Minerals,0.46,Dolphinfish,Large pelagics
Copper,Minerals,0.04,Dolphinfish,Large pelagics
Manganese,Minerals,0.02,Dolphinfish,Large pelagics
Selenium,Minerals,36.5,Dolphinfish,Large pelagics
Vitamins,Minerals,,Dolphinfish,Large pelagics
Vitamin C,Minerals,0,Dolphinfish,Large pelagics
"Thiamin,",Minerals,0.02,Dolphinfish,Large pelagics
"Riboflavin,",Minerals,0.07,Dolphinfish,Large pelagics
"Niacin,",Minerals,6.1,Dolphinfish,Large pelagics
Pantothenic,Minerals,0.75,Dolphinfish,Large pelagics
Vitamin B6,Minerals,0.4,Dolphinfish,Large pelagics
"Folate,",Minerals,5,Dolphinfish,Large pelagics
"Choline,",Minerals,NA,Dolphinfish,Large pelagics
Vitamin B12,Minerals,0.6,Dolphinfish,Large pelagics
Vitamin A,Minerals,180,Dolphinfish,Large pelagics
Vitamin E,Minerals,NA,Dolphinfish,Large pelagics
Vitamin D,Minerals,NA,Dolphinfish,Large pelagics
Vitamin K,Minerals,NA,Dolphinfish,Large pelagics
"Water,",Water,73.38,Swordfish,Large pelagics
"Energy,",Energy,144,Swordfish,Large pelagics
Protein (N x 6.25),Protein,19.66,Swordfish,Large pelagics
Total lipid (fat),Fat,6.65,Swordfish,Large pelagics
"Tryptophan,",Amino acids,0.222,Swordfish,Large pelagics
"Threonine,",Amino acids,0.868,Swordfish,Large pelagics
"Isoleucine,",Amino acids,0.912,Swordfish,Large pelagics
"Leucine,",Amino acids,1.609,Swordfish,Large pelagics
"Lysine,",Amino acids,1.818,Swordfish,Large pelagics
"Methionine,",Amino acids,0.586,Swordfish,Large pelagics
"Cystine,",Amino acids,0.212,Swordfish,Large pelagics
"Phenylalanine,",Amino acids,0.773,Swordfish,Large pelagics
"Tyrosine,",Amino acids,0.668,Swordfish,Large pelagics
"Valine,",Amino acids,1.02,Swordfish,Large pelagics
"Arginine,",Amino acids,1.185,Swordfish,Large pelagics
"Histidine,",Amino acids,0.583,Swordfish,Large pelagics
"Alanine,",Amino acids,1.198,Swordfish,Large pelagics
Aspartic,Amino acids,2.028,Swordfish,Large pelagics
Glutamic,Amino acids,2.956,Swordfish,Large pelagics
"Glycine,",Amino acids,0.95,Swordfish,Large pelagics
"Proline,",Amino acids,0.7,Swordfish,Large pelagics
"Serine,",Amino acids,0.808,Swordfish,Large pelagics
Total amino acids,Amino acids,19.1,Swordfish,Large pelagics
Saturated,Lipids,1.602,Swordfish,Large pelagics
Monounsaturated,Lipids,2.971,Swordfish,Large pelagics
Polyunsaturated,Lipids,1.147,Swordfish,Large pelagics
"(EPA),",Lipids,107,Swordfish,Large pelagics
"(DHA),",Lipids,647,Swordfish,Large pelagics
Cholesterol,Lipids,66,Swordfish,Large pelagics
Calcium,Minerals,5,Swordfish,Large pelagics
Iron,Minerals,0.38,Swordfish,Large pelagics
Magnesium,Minerals,32,Swordfish,Large pelagics
Phosphorus,Minerals,255,Swordfish,Large pelagics
Potassium,Minerals,418,Swordfish,Large pelagics
Sodium,Minerals,81,Swordfish,Large pelagics
Zinc,Minerals,0.66,Swordfish,Large pelagics
Copper,Minerals,0.04,Swordfish,Large pelagics
Manganese,Minerals,0.01,Swordfish,Large pelagics
Selenium,Minerals,57.4,Swordfish,Large pelagics
Vitamins,Minerals,,Swordfish,Large pelagics
Vitamin C,Minerals,0,Swordfish,Large pelagics
"Thiamin,",Minerals,0.08,Swordfish,Large pelagics
"Riboflavin,",Minerals,0.05,Swordfish,Large pelagics
"Niacin,",Minerals,7.76,Swordfish,Large pelagics
Pantothenic,Minerals,0.35,Swordfish,Large pelagics
Vitamin B6,Minerals,0.54,Swordfish,Large pelagics
"Folate,",Minerals,2,Swordfish,Large pelagics
"Choline,",Minerals,65,Swordfish,Large pelagics
Vitamin B12,Minerals,1.7,Swordfish,Large pelagics
Vitamin A,Minerals,120,Swordfish,Large pelagics
Vitamin E,Minerals,2.02,Swordfish,Large pelagics
Vitamin D,Minerals,558,Swordfish,Large pelagics
Vitamin K,Minerals,0.1,Swordfish,Large pelagics
"Water,",Water,81.22,Atlantic cod,Miscellaneous marine fish
"Energy,",Energy,82,Atlantic cod,Miscellaneous marine fish
Protein (N x 6.25),Protein,17.81,Atlantic cod,Miscellaneous marine fish
Total lipid (fat),Fat,0.67,Atlantic cod,Miscellaneous marine fish
"Tryptophan,",Amino acids,0.199,Atlantic cod,Miscellaneous marine fish
"Threonine,",Amino acids,0.781,Atlantic cod,Miscellaneous marine fish
"Isoleucine,",Amino acids,0.821,Atlantic cod,Miscellaneous marine fish
"Leucine,",Amino acids,1.447,Atlantic cod,Miscellaneous marine fish
"Lysine,",Amino acids,1.635,Atlantic cod,Miscellaneous marine fish
"Methionine,",Amino acids,0.527,Atlantic cod,Miscellaneous marine fish
"Cystine,",Amino acids,0.191,Atlantic cod,Miscellaneous marine fish
"Phenylalanine,",Amino acids,0.695,Atlantic cod,Miscellaneous marine fish
"Tyrosine,",Amino acids,0.601,Atlantic cod,Miscellaneous marine fish
"Valine,",Amino acids,0.917,Atlantic cod,Miscellaneous marine fish
"Arginine,",Amino acids,1.066,Atlantic cod,Miscellaneous marine fish
"Histidine,",Amino acids,0.524,Atlantic cod,Miscellaneous marine fish
"Alanine,",Amino acids,1.077,Atlantic cod,Miscellaneous marine fish
Aspartic,Amino acids,1.823,Atlantic cod,Miscellaneous marine fish
Glutamic,Amino acids,2.658,Atlantic cod,Miscellaneous marine fish
"Glycine,",Amino acids,0.855,Atlantic cod,Miscellaneous marine fish
"Proline,",Amino acids,0.63,Atlantic cod,Miscellaneous marine fish
"Serine,",Amino acids,0.726,Atlantic cod,Miscellaneous marine fish
Total amino acids,Amino acids,17.17,Atlantic cod,Miscellaneous marine fish
Saturated,Lipids,0.131,Atlantic cod,Miscellaneous marine fish
Monounsaturated,Lipids,0.094,Atlantic cod,Miscellaneous marine fish
Polyunsaturated,Lipids,0.231,Atlantic cod,Miscellaneous marine fish
"(EPA),",Lipids,64,Atlantic cod,Miscellaneous marine fish
"(DHA),",Lipids,120,Atlantic cod,Miscellaneous marine fish
Cholesterol,Lipids,43,Atlantic cod,Miscellaneous marine fish
Calcium,Minerals,16,Atlantic cod,Miscellaneous marine fish
Iron,Minerals,0.38,Atlantic cod,Miscellaneous marine fish
Magnesium,Minerals,18,Atlantic cod,Miscellaneous marine fish
Phosphorus,Minerals,203,Atlantic cod,Miscellaneous marine fish
Potassium,Minerals,413,Atlantic cod,Miscellaneous marine fish
Sodium,Minerals,54,Atlantic cod,Miscellaneous marine fish
Zinc,Minerals,0.45,Atlantic cod,Miscellaneous marine fish
Copper,Minerals,0.03,Atlantic cod,Miscellaneous marine fish
Manganese,Minerals,0.02,Atlantic cod,Miscellaneous marine fish
Selenium,Minerals,33.1,Atlantic cod,Miscellaneous marine fish
Vitamins,Minerals,,Atlantic cod,Miscellaneous marine fish
Vitamin C,Minerals,1,Atlantic cod,Miscellaneous marine fish
"Thiamin,",Minerals,0.08,Atlantic cod,Miscellaneous marine fish
"Riboflavin,",Minerals,0.07,Atlantic cod,Miscellaneous marine fish
"Niacin,",Minerals,2.06,Atlantic cod,Miscellaneous marine fish
Pantothenic,Minerals,0.15,Atlantic cod,Miscellaneous marine fish
Vitamin B6,Minerals,0.25,Atlantic cod,Miscellaneous marine fish
"Folate,",Minerals,7,Atlantic cod,Miscellaneous marine fish
"Choline,",Minerals,65.2,Atlantic cod,Miscellaneous marine fish
Vitamin B12,Minerals,0.91,Atlantic cod,Miscellaneous marine fish
Vitamin A,Minerals,40,Atlantic cod,Miscellaneous marine fish
Vitamin E,Minerals,0.64,Atlantic cod,Miscellaneous marine fish
Vitamin D,Minerals,36,Atlantic cod,Miscellaneous marine fish
Vitamin K,Minerals,0.1,Atlantic cod,Miscellaneous marine fish
"Water,",Water,84.63,Flatfish,Miscellaneous marine fish
"Energy,",Energy,70,Flatfish,Miscellaneous marine fish
Protein (N x 6.25),Protein,12.41,Flatfish,Miscellaneous marine fish
Total lipid (fat),Fat,1.93,Flatfish,Miscellaneous marine fish
"Tryptophan,",Amino acids,0.161,Flatfish,Miscellaneous marine fish
"Threonine,",Amino acids,0.585,Flatfish,Miscellaneous marine fish
"Isoleucine,",Amino acids,0.614,Flatfish,Miscellaneous marine fish
"Leucine,",Amino acids,1.087,Flatfish,Miscellaneous marine fish
"Lysine,",Amino acids,1.27,Flatfish,Miscellaneous marine fish
"Methionine,",Amino acids,0.455,Flatfish,Miscellaneous marine fish
"Cystine,",Amino acids,0.149,Flatfish,Miscellaneous marine fish
"Phenylalanine,",Amino acids,0.508,Flatfish,Miscellaneous marine fish
"Tyrosine,",Amino acids,0.479,Flatfish,Miscellaneous marine fish
"Valine,",Amino acids,0.651,Flatfish,Miscellaneous marine fish
"Arginine,",Amino acids,0.895,Flatfish,Miscellaneous marine fish
"Histidine,",Amino acids,0.304,Flatfish,Miscellaneous marine fish
"Alanine,",Amino acids,0.771,Flatfish,Miscellaneous marine fish
Aspartic,Amino acids,1.382,Flatfish,Miscellaneous marine fish
Glutamic,Amino acids,2.127,Flatfish,Miscellaneous marine fish
"Glycine,",Amino acids,0.64,Flatfish,Miscellaneous marine fish
"Proline,",Amino acids,0.487,Flatfish,Miscellaneous marine fish
"Serine,",Amino acids,0.579,Flatfish,Miscellaneous marine fish
Total amino acids,Amino acids,13.14,Flatfish,Miscellaneous marine fish
Saturated,Lipids,0.441,Flatfish,Miscellaneous marine fish
Monounsaturated,Lipids,0.535,Flatfish,Miscellaneous marine fish
Polyunsaturated,Lipids,0.374,Flatfish,Miscellaneous marine fish
"(EPA),",Lipids,137,Flatfish,Miscellaneous marine fish
"(DHA),",Lipids,108,Flatfish,Miscellaneous marine fish
Cholesterol,Lipids,45,Flatfish,Miscellaneous marine fish
Calcium,Minerals,21,Flatfish,Miscellaneous marine fish
Iron,Minerals,0.18,Flatfish,Miscellaneous marine fish
Magnesium,Minerals,31,Flatfish,Miscellaneous marine fish
Phosphorus,Minerals,252,Flatfish,Miscellaneous marine fish
Potassium,Minerals,160,Flatfish,Miscellaneous marine fish
Sodium,Minerals,296,Flatfish,Miscellaneous marine fish
Zinc,Minerals,0.32,Flatfish,Miscellaneous marine fish
Copper,Minerals,0.02,Flatfish,Miscellaneous marine fish
Manganese,Minerals,0.01,Flatfish,Miscellaneous marine fish
Selenium,Minerals,26.6,Flatfish,Miscellaneous marine fish
Vitamins,Minerals,,Flatfish,Miscellaneous marine fish
Vitamin C,Minerals,0,Flatfish,Miscellaneous marine fish
"Thiamin,",Minerals,0.02,Flatfish,Miscellaneous marine fish
"Riboflavin,",Minerals,0.02,Flatfish,Miscellaneous marine fish
"Niacin,",Minerals,1.04,Flatfish,Miscellaneous marine fish
Pantothenic,Minerals,0.19,Flatfish,Miscellaneous marine fish
Vitamin B6,Minerals,0.1,Flatfish,Miscellaneous marine fish
"Folate,",Minerals,5,Flatfish,Miscellaneous marine fish
"Choline,",Minerals,65,Flatfish,Miscellaneous marine fish
Vitamin B12,Minerals,1.13,Flatfish,Miscellaneous marine fish
Vitamin A,Minerals,33,Flatfish,Miscellaneous marine fish
Vitamin E,Minerals,0.63,Flatfish,Miscellaneous marine fish
Vitamin D,Minerals,113,Flatfish,Miscellaneous marine fish
Vitamin K,Minerals,0.1,Flatfish,Miscellaneous marine fish
"Water,",Water,79.22,Grouper mixed spp,Miscellaneous marine fish
"Energy,",Energy,92,Grouper mixed spp,Miscellaneous marine fish
Protein (N x 6.25),Protein,19.38,Grouper mixed spp,Miscellaneous marine fish
Total lipid (fat),Fat,1.02,Grouper mixed spp,Miscellaneous marine fish
"Tryptophan,",Amino acids,0.217,Grouper mixed spp,Miscellaneous marine fish
"Threonine,",Amino acids,0.849,Grouper mixed spp,Miscellaneous marine fish
"Isoleucine,",Amino acids,0.893,Grouper mixed spp,Miscellaneous marine fish
"Leucine,",Amino acids,1.575,Grouper mixed spp,Miscellaneous marine fish
"Lysine,",Amino acids,1.779,Grouper mixed spp,Miscellaneous marine fish
"Methionine,",Amino acids,0.574,Grouper mixed spp,Miscellaneous marine fish
"Cystine,",Amino acids,0.208,Grouper mixed spp,Miscellaneous marine fish
"Phenylalanine,",Amino acids,0.756,Grouper mixed spp,Miscellaneous marine fish
"Tyrosine,",Amino acids,0.654,Grouper mixed spp,Miscellaneous marine fish
"Valine,",Amino acids,0.998,Grouper mixed spp,Miscellaneous marine fish
"Arginine,",Amino acids,1.159,Grouper mixed spp,Miscellaneous marine fish
"Histidine,",Amino acids,0.57,Grouper mixed spp,Miscellaneous marine fish
"Alanine,",Amino acids,1.172,Grouper mixed spp,Miscellaneous marine fish
Aspartic,Amino acids,1.984,Grouper mixed spp,Miscellaneous marine fish
Glutamic,Amino acids,2.892,Grouper mixed spp,Miscellaneous marine fish
"Glycine,",Amino acids,0.93,Grouper mixed spp,Miscellaneous marine fish
"Proline,",Amino acids,0.685,Grouper mixed spp,Miscellaneous marine fish
"Serine,",Amino acids,0.791,Grouper mixed spp,Miscellaneous marine fish
Total amino acids,Amino acids,18.69,Grouper mixed spp,Miscellaneous marine fish
Saturated,Lipids,0.233,Grouper mixed spp,Miscellaneous marine fish
Monounsaturated,Lipids,0.202,Grouper mixed spp,Miscellaneous marine fish
Polyunsaturated,Lipids,0.321,Grouper mixed spp,Miscellaneous marine fish
"(EPA),",Lipids,27,Grouper mixed spp,Miscellaneous marine fish
"(DHA),",Lipids,220,Grouper mixed spp,Miscellaneous marine fish
Cholesterol,Lipids,37,Grouper mixed spp,Miscellaneous marine fish
Calcium,Minerals,27,Grouper mixed spp,Miscellaneous marine fish
Iron,Minerals,0.89,Grouper mixed spp,Miscellaneous marine fish
Magnesium,Minerals,21,Grouper mixed spp,Miscellaneous marine fish
Phosphorus,Minerals,162,Grouper mixed spp,Miscellaneous marine fish
Potassium,Minerals,483,Grouper mixed spp,Miscellaneous marine fish
Sodium,Minerals,53,Grouper mixed spp,Miscellaneous marine fish
Zinc,Minerals,0.48,Grouper mixed spp,Miscellaneous marine fish
Copper,Minerals,0.02,Grouper mixed spp,Miscellaneous marine fish
Manganese,Minerals,0.01,Grouper mixed spp,Miscellaneous marine fish
Selenium,Minerals,36.5,Grouper mixed spp,Miscellaneous marine fish
Vitamins,Minerals,,Grouper mixed spp,Miscellaneous marine fish
Vitamin C,Minerals,0,Grouper mixed spp,Miscellaneous marine fish
"Thiamin,",Minerals,0.07,Grouper mixed spp,Miscellaneous marine fish
"Riboflavin,",Minerals,0.01,Grouper mixed spp,Miscellaneous marine fish
"Niacin,",Minerals,0.31,Grouper mixed spp,Miscellaneous marine fish
Pantothenic,Minerals,0.75,Grouper mixed spp,Miscellaneous marine fish
Vitamin B6,Minerals,0.3,Grouper mixed spp,Miscellaneous marine fish
"Folate,",Minerals,9,Grouper mixed spp,Miscellaneous marine fish
"Choline,",Minerals,NA,Grouper mixed spp,Miscellaneous marine fish
Vitamin B12,Minerals,0.6,Grouper mixed spp,Miscellaneous marine fish
Vitamin A,Minerals,143,Grouper mixed spp,Miscellaneous marine fish
Vitamin E,Minerals,NA,Grouper mixed spp,Miscellaneous marine fish
Vitamin D,Minerals,NA,Grouper mixed spp,Miscellaneous marine fish
Vitamin K,Minerals,NA,Grouper mixed spp,Miscellaneous marine fish
"Water,",Water,83.38,Haddock,Miscellaneous marine fish
"Energy,",Energy,74,Haddock,Miscellaneous marine fish
Protein (N x 6.25),Protein,16.32,Haddock,Miscellaneous marine fish
Total lipid (fat),Fat,0.45,Haddock,Miscellaneous marine fish
"Tryptophan,",Amino acids,0.212,Haddock,Miscellaneous marine fish
"Threonine,",Amino acids,0.829,Haddock,Miscellaneous marine fish
"Isoleucine,",Amino acids,0.871,Haddock,Miscellaneous marine fish
"Leucine,",Amino acids,1.537,Haddock,Miscellaneous marine fish
"Lysine,",Amino acids,1.736,Haddock,Miscellaneous marine fish
"Methionine,",Amino acids,0.56,Haddock,Miscellaneous marine fish
"Cystine,",Amino acids,0.203,Haddock,Miscellaneous marine fish
"Phenylalanine,",Amino acids,0.738,Haddock,Miscellaneous marine fish
"Tyrosine,",Amino acids,0.638,Haddock,Miscellaneous marine fish
"Valine,",Amino acids,0.974,Haddock,Miscellaneous marine fish
"Arginine,",Amino acids,1.131,Haddock,Miscellaneous marine fish
"Histidine,",Amino acids,0.557,Haddock,Miscellaneous marine fish
"Alanine,",Amino acids,1.143,Haddock,Miscellaneous marine fish
Aspartic,Amino acids,1.936,Haddock,Miscellaneous marine fish
Glutamic,Amino acids,2.822,Haddock,Miscellaneous marine fish
"Glycine,",Amino acids,0.908,Haddock,Miscellaneous marine fish
"Proline,",Amino acids,0.669,Haddock,Miscellaneous marine fish
"Serine,",Amino acids,0.771,Haddock,Miscellaneous marine fish
Total amino acids,Amino acids,18.24,Haddock,Miscellaneous marine fish
Saturated,Lipids,0.091,Haddock,Miscellaneous marine fish
Monounsaturated,Lipids,0.061,Haddock,Miscellaneous marine fish
Polyunsaturated,Lipids,0.166,Haddock,Miscellaneous marine fish
"(EPA),",Lipids,42,Haddock,Miscellaneous marine fish
"(DHA),",Lipids,89,Haddock,Miscellaneous marine fish
Cholesterol,Lipids,54,Haddock,Miscellaneous marine fish
Calcium,Minerals,11,Haddock,Miscellaneous marine fish
Iron,Minerals,0.17,Haddock,Miscellaneous marine fish
Magnesium,Minerals,23,Haddock,Miscellaneous marine fish
Phosphorus,Minerals,227,Haddock,Miscellaneous marine fish
Potassium,Minerals,286,Haddock,Miscellaneous marine fish
Sodium,Minerals,213,Haddock,Miscellaneous marine fish
Zinc,Minerals,0.32,Haddock,Miscellaneous marine fish
Copper,Minerals,0.02,Haddock,Miscellaneous marine fish
Manganese,Minerals,0.01,Haddock,Miscellaneous marine fish
Selenium,Minerals,25.9,Haddock,Miscellaneous marine fish
Vitamins,Minerals,,Haddock,Miscellaneous marine fish
Vitamin C,Minerals,0,Haddock,Miscellaneous marine fish
"Thiamin,",Minerals,0.02,Haddock,Miscellaneous marine fish
"Riboflavin,",Minerals,0.06,Haddock,Miscellaneous marine fish
"Niacin,",Minerals,3.36,Haddock,Miscellaneous marine fish
Pantothenic,Minerals,0.4,Haddock,Miscellaneous marine fish
Vitamin B6,Minerals,0.28,Haddock,Miscellaneous marine fish
"Folate,",Minerals,12,Haddock,Miscellaneous marine fish
"Choline,",Minerals,65,Haddock,Miscellaneous marine fish
Vitamin B12,Minerals,1.83,Haddock,Miscellaneous marine fish
Vitamin A,Minerals,57,Haddock,Miscellaneous marine fish
Vitamin E,Minerals,0.45,Haddock,Miscellaneous marine fish
Vitamin D,Minerals,18,Haddock,Miscellaneous marine fish
Vitamin K,Minerals,0.1,Haddock,Miscellaneous marine fish
"Water,",Water,80.34,Halibut,Miscellaneous marine fish
"Energy,",Energy,91,Halibut,Miscellaneous marine fish
Protein (N x 6.25),Protein,18.56,Halibut,Miscellaneous marine fish
Total lipid (fat),Fat,1.33,Halibut,Miscellaneous marine fish
"Tryptophan,",Amino acids,0.233,Halibut,Miscellaneous marine fish
"Threonine,",Amino acids,0.912,Halibut,Miscellaneous marine fish
"Isoleucine,",Amino acids,0.959,Halibut,Miscellaneous marine fish
"Leucine,",Amino acids,1.692,Halibut,Miscellaneous marine fish
"Lysine,",Amino acids,1.911,Halibut,Miscellaneous marine fish
"Methionine,",Amino acids,0.616,Halibut,Miscellaneous marine fish
"Cystine,",Amino acids,0.223,Halibut,Miscellaneous marine fish
"Phenylalanine,",Amino acids,0.813,Halibut,Miscellaneous marine fish
"Tyrosine,",Amino acids,0.703,Halibut,Miscellaneous marine fish
"Valine,",Amino acids,1.072,Halibut,Miscellaneous marine fish
"Arginine,",Amino acids,1.245,Halibut,Miscellaneous marine fish
"Histidine,",Amino acids,0.613,Halibut,Miscellaneous marine fish
"Alanine,",Amino acids,1.259,Halibut,Miscellaneous marine fish
Aspartic,Amino acids,2.131,Halibut,Miscellaneous marine fish
Glutamic,Amino acids,3.107,Halibut,Miscellaneous marine fish
"Glycine,",Amino acids,0.999,Halibut,Miscellaneous marine fish
"Proline,",Amino acids,0.736,Halibut,Miscellaneous marine fish
"Serine,",Amino acids,0.849,Halibut,Miscellaneous marine fish
Total amino acids,Amino acids,20.07,Halibut,Miscellaneous marine fish
Saturated,Lipids,0.292,Halibut,Miscellaneous marine fish
Monounsaturated,Lipids,0.471,Halibut,Miscellaneous marine fish
Polyunsaturated,Lipids,0.29,Halibut,Miscellaneous marine fish
"(EPA),",Lipids,66,Halibut,Miscellaneous marine fish
"(DHA),",Lipids,128,Halibut,Miscellaneous marine fish
Cholesterol,Lipids,49,Halibut,Miscellaneous marine fish
Calcium,Minerals,7,Halibut,Miscellaneous marine fish
Iron,Minerals,0.16,Halibut,Miscellaneous marine fish
Magnesium,Minerals,29,Halibut,Miscellaneous marine fish
Phosphorus,Minerals,236,Halibut,Miscellaneous marine fish
Potassium,Minerals,435,Halibut,Miscellaneous marine fish
Sodium,Minerals,68,Halibut,Miscellaneous marine fish
Zinc,Minerals,0.36,Halibut,Miscellaneous marine fish
Copper,Minerals,0.02,Halibut,Miscellaneous marine fish
Manganese,Minerals,0.01,Halibut,Miscellaneous marine fish
Selenium,Minerals,45.6,Halibut,Miscellaneous marine fish
Vitamins,Minerals,,Halibut,Miscellaneous marine fish
Vitamin C,Minerals,0,Halibut,Miscellaneous marine fish
"Thiamin,",Minerals,0.05,Halibut,Miscellaneous marine fish
"Riboflavin,",Minerals,0.03,Halibut,Miscellaneous marine fish
"Niacin,",Minerals,6.51,Halibut,Miscellaneous marine fish
Pantothenic,Minerals,0.34,Halibut,Miscellaneous marine fish
Vitamin B6,Minerals,0.55,Halibut,Miscellaneous marine fish
"Folate,",Minerals,12,Halibut,Miscellaneous marine fish
"Choline,",Minerals,61.8,Halibut,Miscellaneous marine fish
Vitamin B12,Minerals,1.1,Halibut,Miscellaneous marine fish
Vitamin A,Minerals,67,Halibut,Miscellaneous marine fish
Vitamin E,Minerals,0,Halibut,Miscellaneous marine fish
Vitamin D,Minerals,190,Halibut,Miscellaneous marine fish
Vitamin K,Minerals,0,Halibut,Miscellaneous marine fish
"Water,",Water,77.01,Striped mullet,Miscellaneous marine fish
"Energy,",Energy,117,Striped mullet,Miscellaneous marine fish
Protein (N x 6.25),Protein,19.35,Striped mullet,Miscellaneous marine fish
Total lipid (fat),Fat,3.79,Striped mullet,Miscellaneous marine fish
"Tryptophan,",Amino acids,0.217,Striped mullet,Miscellaneous marine fish
"Threonine,",Amino acids,0.848,Striped mullet,Miscellaneous marine fish
"Isoleucine,",Amino acids,0.892,Striped mullet,Miscellaneous marine fish
"Leucine,",Amino acids,1.573,Striped mullet,Miscellaneous marine fish
"Lysine,",Amino acids,1.777,Striped mullet,Miscellaneous marine fish
"Methionine,",Amino acids,0.573,Striped mullet,Miscellaneous marine fish
"Cystine,",Amino acids,0.207,Striped mullet,Miscellaneous marine fish
"Phenylalanine,",Amino acids,0.755,Striped mullet,Miscellaneous marine fish
"Tyrosine,",Amino acids,0.653,Striped mullet,Miscellaneous marine fish
"Valine,",Amino acids,0.997,Striped mullet,Miscellaneous marine fish
"Arginine,",Amino acids,1.158,Striped mullet,Miscellaneous marine fish
"Histidine,",Amino acids,0.57,Striped mullet,Miscellaneous marine fish
"Alanine,",Amino acids,1.17,Striped mullet,Miscellaneous marine fish
Aspartic,Amino acids,1.981,Striped mullet,Miscellaneous marine fish
Glutamic,Amino acids,2.889,Striped mullet,Miscellaneous marine fish
"Glycine,",Amino acids,0.929,Striped mullet,Miscellaneous marine fish
"Proline,",Amino acids,0.684,Striped mullet,Miscellaneous marine fish
"Serine,",Amino acids,0.789,Striped mullet,Miscellaneous marine fish
Total amino acids,Amino acids,18.66,Striped mullet,Miscellaneous marine fish
Saturated,Lipids,1.116,Striped mullet,Miscellaneous marine fish
Monounsaturated,Lipids,1.078,Striped mullet,Miscellaneous marine fish
Polyunsaturated,Lipids,0.715,Striped mullet,Miscellaneous marine fish
"(EPA),",Lipids,217,Striped mullet,Miscellaneous marine fish
"(DHA),",Lipids,108,Striped mullet,Miscellaneous marine fish
Cholesterol,Lipids,49,Striped mullet,Miscellaneous marine fish
Calcium,Minerals,41,Striped mullet,Miscellaneous marine fish
Iron,Minerals,1.02,Striped mullet,Miscellaneous marine fish
Magnesium,Minerals,41,Striped mullet,Miscellaneous marine fish
Phosphorus,Minerals,221,Striped mullet,Miscellaneous marine fish
Potassium,Minerals,357,Striped mullet,Miscellaneous marine fish
Sodium,Minerals,65,Striped mullet,Miscellaneous marine fish
Zinc,Minerals,0.52,Striped mullet,Miscellaneous marine fish
Copper,Minerals,0.05,Striped mullet,Miscellaneous marine fish
Manganese,Minerals,0.02,Striped mullet,Miscellaneous marine fish
Selenium,Minerals,36.5,Striped mullet,Miscellaneous marine fish
Vitamins,Minerals,,Striped mullet,Miscellaneous marine fish
Vitamin C,Minerals,1.2,Striped mullet,Miscellaneous marine fish
"Thiamin,",Minerals,0.09,Striped mullet,Miscellaneous marine fish
"Riboflavin,",Minerals,0.08,Striped mullet,Miscellaneous marine fish
"Niacin,",Minerals,5.2,Striped mullet,Miscellaneous marine fish
Pantothenic,Minerals,0.76,Striped mullet,Miscellaneous marine fish
Vitamin B6,Minerals,0.43,Striped mullet,Miscellaneous marine fish
"Folate,",Minerals,9,Striped mullet,Miscellaneous marine fish
"Choline,",Minerals,70.2,Striped mullet,Miscellaneous marine fish
Vitamin B12,Minerals,0.22,Striped mullet,Miscellaneous marine fish
Vitamin A,Minerals,123,Striped mullet,Miscellaneous marine fish
Vitamin E,Minerals,1,Striped mullet,Miscellaneous marine fish
Vitamin D,Minerals,61,Striped mullet,Miscellaneous marine fish
Vitamin K,Minerals,0.1,Striped mullet,Miscellaneous marine fish
"Water,",Water,78.27,Sea bass,Miscellaneous marine fish
"Energy,",Energy,97,Sea bass,Miscellaneous marine fish
Protein (N x 6.25),Protein,18.43,Sea bass,Miscellaneous marine fish
Total lipid (fat),Fat,2,Sea bass,Miscellaneous marine fish
"Tryptophan,",Amino acids,0.206,Sea bass,Miscellaneous marine fish
"Threonine,",Amino acids,0.808,Sea bass,Miscellaneous marine fish
"Isoleucine,",Amino acids,0.849,Sea bass,Miscellaneous marine fish
"Leucine,",Amino acids,1.498,Sea bass,Miscellaneous marine fish
"Lysine,",Amino acids,1.693,Sea bass,Miscellaneous marine fish
"Methionine,",Amino acids,0.546,Sea bass,Miscellaneous marine fish
"Cystine,",Amino acids,0.198,Sea bass,Miscellaneous marine fish
"Phenylalanine,",Amino acids,0.72,Sea bass,Miscellaneous marine fish
"Tyrosine,",Amino acids,0.622,Sea bass,Miscellaneous marine fish
"Valine,",Amino acids,0.95,Sea bass,Miscellaneous marine fish
"Arginine,",Amino acids,1.103,Sea bass,Miscellaneous marine fish
"Histidine,",Amino acids,0.543,Sea bass,Miscellaneous marine fish
"Alanine,",Amino acids,1.115,Sea bass,Miscellaneous marine fish
Aspartic,Amino acids,1.887,Sea bass,Miscellaneous marine fish
Glutamic,Amino acids,2.751,Sea bass,Miscellaneous marine fish
"Glycine,",Amino acids,0.885,Sea bass,Miscellaneous marine fish
